interface,workload,cache_state,file_size_bytes,block_size_bytes,threads,qd,seed,repetition,wall_seconds,total_bytes,throughput_MBps,latency_us_per_op,cpu_user_seconds,cpu_sys_seconds,Minor_faults,major_faults,voluntary_ctx,involuntary_ctx
mmap,seq_read,cold,2147483648,4096,1,0,42,1,5.43193,2147483648,377.03,10.3606,0.145171,1.18868,32731,17814,6143,3
mmap,seq_read,warm,2147483648,4096,1,0,42,1,0.452393,2147483648,4527.04,0.862871,0.308363,0.144057,32777,0,1,0
mmap,seq_read,cold,2147483648,4096,1,0,42,2,5.31754,2147483648,385.141,10.1424,0.133131,1.19443,32719,17893,6245,2
mmap,seq_read,warm,2147483648,4096,1,0,42,2,0.448042,2147483648,4571,0.854572,0.322304,0.125757,32777,0,1,1
mmap,seq_read,cold,2147483648,4096,1,0,42,3,5.32871,2147483648,384.333,10.1637,0.145704,1.19694,32748,17883,6225,1
mmap,seq_read,warm,2147483648,4096,1,0,42,3,0.446917,2147483648,4582.5,0.852427,0.314808,0.13213,32778,0,1,1
mmap,seq_read,cold,2147483648,4096,1,0,42,4,5.32011,2147483648,384.954,10.1473,0.184752,1.1482,32716,17905,6229,1
mmap,seq_read,warm,2147483648,4096,1,0,42,4,0.447359,2147483648,4577.98,0.853269,0.295096,0.152287,32777,0,1,0
mmap,seq_read,cold,2147483648,4096,1,0,42,5,5.32708,2147483648,384.451,10.1606,0.114494,1.22528,32759,17862,6200,1
mmap,seq_read,warm,2147483648,4096,1,0,42,5,0.447197,2147483648,4579.64,0.852961,0.31903,0.12819,32777,0,1,0
mmap,seq_read,cold,2147483648,4096,4,0,42,1,6.24813,2147483648,327.778,11.9174,0.151972,1.26234,32682,17921,6298,3
mmap,seq_read,warm,2147483648,4096,4,0,42,1,0.115959,2147483648,17661.5,0.221174,0.32281,0.13507,32784,0,6,0
mmap,seq_read,cold,2147483648,4096,4,0,42,2,6.05497,2147483648,338.234,11.5489,0.177743,1.24473,32730,17941,6308,2
mmap,seq_read,warm,2147483648,4096,4,0,42,2,0.116189,2147483648,17626.4,0.221614,0.321908,0.138683,32784,0,2,1
mmap,seq_read,cold,2147483648,4096,4,0,42,3,6.21276,2147483648,329.644,11.8499,0.142334,1.28516,32728,17902,6269,1
mmap,seq_read,warm,2147483648,4096,4,0,42,3,0.115845,2147483648,17678.8,0.220957,0.304562,0.155103,32785,0,3,1
mmap,seq_read,cold,2147483648,4096,4,0,42,4,6.03995,2147483648,339.076,11.5203,0.166602,1.26334,32687,17904,6283,4
mmap,seq_read,warm,2147483648,4096,4,0,42,4,0.116317,2147483648,17607.1,0.221857,0.313807,0.146515,32784,0,2,2
mmap,seq_read,cold,2147483648,4096,4,0,42,5,6.09297,2147483648,336.125,11.6214,0.175178,1.26515,32700,17912,6280,1
mmap,seq_read,warm,2147483648,4096,4,0,42,5,0.116389,2147483648,17596.1,0.221995,0.334453,0.125525,32783,0,4,1
mmap,seq_read,cold,2147483648,4096,8,0,42,1,9.29491,2147483648,220.336,17.7286,0.241426,1.46762,32722,17877,6266,5
mmap,seq_read,warm,2147483648,4096,8,0,42,1,0.0917788,2147483648,22314.5,0.175054,0.385721,0.152395,32793,0,25,3
mmap,seq_read,cold,2147483648,4096,8,0,42,2,8.17849,2147483648,250.413,15.5992,0.248488,1.43922,32719,17874,6262,5
mmap,seq_read,warm,2147483648,4096,8,0,42,2,0.0943964,2147483648,21695.8,0.180047,0.342012,0.19332,32792,0,30,2
mmap,seq_read,cold,2147483648,4096,8,0,42,3,8.39127,2147483648,244.063,16.0051,0.159174,1.44834,16340,17902,6301,7
mmap,seq_read,warm,2147483648,4096,8,0,42,3,0.093727,2147483648,21850.7,0.17877,0.389853,0.147828,32792,0,24,2
mmap,seq_read,cold,2147483648,4096,8,0,42,4,7.48797,2147483648,273.505,14.2822,0.208224,1.41809,32737,17887,6277,5
mmap,seq_read,warm,2147483648,4096,8,0,42,4,0.0904,2147483648,22654.9,0.172424,0.398563,0.13662,32791,0,28,2
mmap,seq_read,cold,2147483648,4096,8,0,42,5,6.20606,2147483648,330,11.8371,0.183013,1.49077,32642,17911,6280,4
mmap,seq_read,warm,2147483648,4096,8,0,42,5,0.0925924,2147483648,22118.4,0.176606,0.394339,0.140631,32791,0,27,8
mmap,seq_read,cold,2147483648,16384,1,0,42,1,5.30758,2147483648,385.863,40.4937,0.177223,1.14277,32725,17888,6226,1
mmap,seq_read,warm,2147483648,16384,1,0,42,1,0.448881,2147483648,4562.46,3.42469,0.313061,0.135812,32778,0,1,1
mmap,seq_read,cold,2147483648,16384,1,0,42,2,5.32269,2147483648,384.768,40.6089,0.137544,1.1997,32754,17870,6214,2
mmap,seq_read,warm,2147483648,16384,1,0,42,2,0.452526,2147483648,4525.71,3.4525,0.32054,0.132016,32778,0,1,0
mmap,seq_read,cold,2147483648,16384,1,0,42,3,5.30953,2147483648,385.721,40.5085,0.126004,1.20244,32716,17882,6217,1
mmap,seq_read,warm,2147483648,16384,1,0,42,3,0.44843,2147483648,4567.05,3.42125,0.317037,0.131419,32778,0,1,0
mmap,seq_read,cold,2147483648,16384,1,0,42,4,5.31757,2147483648,385.139,40.5698,0.186845,1.13465,32721,17885,6233,4
mmap,seq_read,warm,2147483648,16384,1,0,42,4,0.452644,2147483648,4524.52,3.4534,0.356195,0.096458,32778,0,1,1
mmap,seq_read,cold,2147483648,16384,1,0,42,5,5.32373,2147483648,384.693,40.6169,0.191715,1.15406,32692,17873,6210,4
mmap,seq_read,warm,2147483648,16384,1,0,42,5,0.449685,2147483648,4554.3,3.43083,0.328866,0.120837,32778,0,1,1
mmap,seq_read,cold,2147483648,16384,4,0,42,1,5.96983,2147483648,343.059,45.5462,0.172924,1.25535,32718,17918,6297,5
mmap,seq_read,warm,2147483648,16384,4,0,42,1,0.115058,2147483648,17799.8,0.87782,0.350524,0.106828,32784,0,2,0
mmap,seq_read,cold,2147483648,16384,4,0,42,2,5.89421,2147483648,347.46,44.9692,0.157797,1.25226,32722,17906,6283,4
mmap,seq_read,warm,2147483648,16384,4,0,42,2,0.115331,2147483648,17757.6,0.879903,0.322024,0.13687,32783,0,7,0
mmap,seq_read,cold,2147483648,16384,4,0,42,3,5.91335,2147483648,346.335,45.1153,0.141718,1.27525,32698,17921,6293,4
mmap,seq_read,warm,2147483648,16384,4,0,42,3,0.11587,2147483648,17674.9,0.884021,0.340277,0.11927,32783,0,4,0
mmap,seq_read,cold,2147483648,16384,4,0,42,4,6.0576,2147483648,338.088,46.2158,0.196609,1.22197,32624,17932,6313,3
mmap,seq_read,warm,2147483648,16384,4,0,42,4,0.115746,2147483648,17693.9,0.88307,0.352304,0.108173,32784,0,2,0
mmap,seq_read,cold,2147483648,16384,4,0,42,5,6.01971,2147483648,340.215,45.9268,0.156985,1.26086,32711,17932,6310,4
mmap,seq_read,warm,2147483648,16384,4,0,42,5,0.115743,2147483648,17694.3,0.883052,0.329564,0.129362,32783,0,5,2
mmap,seq_read,cold,2147483648,16384,8,0,42,1,7.94808,2147483648,257.672,60.639,0.23376,1.47688,32749,17858,6244,10
mmap,seq_read,warm,2147483648,16384,8,0,42,1,0.0922296,2147483648,22205.5,0.703656,0.408012,0.12729,32792,0,43,0
mmap,seq_read,cold,2147483648,16384,8,0,42,2,6.43878,2147483648,318.073,49.124,0.219221,1.53456,32749,17894,6264,11
mmap,seq_read,warm,2147483648,16384,8,0,42,2,0.0917339,2147483648,22325.4,0.699874,0.375,0.158606,32792,0,30,3
mmap,seq_read,cold,2147483648,16384,8,0,42,3,7.07112,2147483648,289.629,53.9484,0.240826,1.5291,32748,17877,6253,6
mmap,seq_read,warm,2147483648,16384,8,0,42,3,0.0925193,2147483648,22135.9,0.705867,0.395555,0.141094,32791,0,25,0
mmap,seq_read,cold,2147483648,16384,8,0,42,4,8.67926,2147483648,235.965,66.2175,0.2127,1.4673,32680,17897,6313,9
mmap,seq_read,warm,2147483648,16384,8,0,42,4,0.0941167,2147483648,21760.2,0.718054,0.41518,0.122033,32791,0,24,1
mmap,seq_read,cold,2147483648,16384,8,0,42,5,8.51003,2147483648,240.657,64.9264,0.215038,1.50242,32717,17881,6277,5
mmap,seq_read,warm,2147483648,16384,8,0,42,5,0.0913799,2147483648,22411.9,0.697173,0.383633,0.150967,32792,0,31,0
mmap,seq_read,cold,2147483648,65536,1,0,42,1,5.32322,2147483648,384.729,162.452,0.15442,1.17506,32694,17890,6227,2
mmap,seq_read,warm,2147483648,65536,1,0,42,1,0.450954,2147483648,4541.48,13.762,0.322823,0.128145,32780,0,1,1
mmap,seq_read,cold,2147483648,65536,1,0,42,2,5.33812,2147483648,383.656,162.907,0.113932,1.21373,32721,17878,6226,2
mmap,seq_read,warm,2147483648,65536,1,0,42,2,0.44999,2147483648,4551.22,13.7326,0.317703,0.132311,32778,0,1,1
mmap,seq_read,cold,2147483648,65536,1,0,42,3,5.37667,2147483648,380.905,164.083,0.13619,1.19373,32695,17885,6240,3
mmap,seq_read,warm,2147483648,65536,1,0,42,3,0.451658,2147483648,4534.4,13.7835,0.306725,0.144956,32778,0,1,1
mmap,seq_read,cold,2147483648,65536,1,0,42,4,5.31927,2147483648,385.015,162.331,0.16718,1.16609,32711,17892,6242,2
mmap,seq_read,warm,2147483648,65536,1,0,42,4,0.446516,2147483648,4586.62,13.6266,0.317618,0.128929,32777,0,1,0
mmap,seq_read,cold,2147483648,65536,1,0,42,5,5.32598,2147483648,384.531,162.536,0.17133,1.1592,32725,17896,6233,0
mmap,seq_read,warm,2147483648,65536,1,0,42,5,0.449726,2147483648,4553.88,13.7246,0.341587,0.108171,32777,0,1,0
mmap,seq_read,cold,2147483648,65536,4,0,42,1,6.00006,2147483648,341.33,183.107,0.156635,1.24981,32706,17927,6310,3
mmap,seq_read,warm,2147483648,65536,4,0,42,1,0.11465,2147483648,17863.1,3.49883,0.306746,0.148453,32783,0,5,0
mmap,seq_read,cold,2147483648,65536,4,0,42,2,6.06269,2147483648,337.804,185.019,0.146833,1.26408,32719,17927,6296,5
mmap,seq_read,warm,2147483648,65536,4,0,42,2,0.11436,2147483648,17908.4,3.48999,0.327333,0.126855,32784,0,7,4
mmap,seq_read,cold,2147483648,65536,4,0,42,3,5.85419,2147483648,349.835,178.656,0.169858,1.24968,32709,17919,6313,2
mmap,seq_read,warm,2147483648,65536,4,0,42,3,0.11562,2147483648,17713.1,3.52845,0.333857,0.124691,32783,0,3,0
mmap,seq_read,cold,2147483648,65536,4,0,42,4,5.92887,2147483648,345.429,180.935,0.191248,1.22427,32711,17921,6318,0
mmap,seq_read,warm,2147483648,65536,4,0,42,4,0.115342,2147483648,17755.9,3.51995,0.294853,0.162099,32784,0,8,6
mmap,seq_read,cold,2147483648,65536,4,0,42,5,5.85996,2147483648,349.491,178.832,0.138495,1.27714,32705,17926,6307,0
mmap,seq_read,warm,2147483648,65536,4,0,42,5,0.116256,2147483648,17616.3,3.54785,0.337263,0.124651,32784,0,4,0
mmap,seq_read,cold,2147483648,65536,8,0,42,1,7.75018,2147483648,264.252,236.517,0.241869,1.4625,32737,17900,6298,6
mmap,seq_read,warm,2147483648,65536,8,0,42,1,0.0918125,2147483648,22306.3,2.8019,0.378563,0.159421,32791,0,40,1
mmap,seq_read,cold,2147483648,65536,8,0,42,2,6.84916,2147483648,299.015,209.02,0.197367,1.49702,32729,17920,6300,6
mmap,seq_read,warm,2147483648,65536,8,0,42,2,0.0940077,2147483648,21785.5,2.86889,0.372947,0.16804,32794,0,46,2
mmap,seq_read,cold,2147483648,65536,8,0,42,3,7.79832,2147483648,262.621,237.986,0.207488,1.56657,32727,17885,6269,8
mmap,seq_read,warm,2147483648,65536,8,0,42,3,0.0938742,2147483648,21816.4,2.86481,0.406785,0.132664,32792,0,26,8
mmap,seq_read,cold,2147483648,65536,8,0,42,4,7.33995,2147483648,279.021,223.998,0.257976,1.42812,32726,17896,6267,4
