interface,workload,cache_state,file_size_bytes,block_size_bytes,threads,qd,seed,repetition,wall_seconds,total_bytes,throughput_MBps,latency_us_per_op,cpu_user_seconds,cpu_sys_seconds,Minor_faults,major_faults,voluntary_ctx,involuntary_ctx
mmap,seq_read,cold,2147483648,4096,1,0,42,1,15.4507,2147483648,132.551,29.4698,0.275914,1.80594,32792,16385,16402,3
mmap,seq_read,warm,2147483648,4096,1,0,42,1,0.448976,2147483648,4561.49,0.856354,0.305496,0.143498,32778,0,1,1
mmap,seq_read,cold,2147483648,4096,1,0,42,2,15.3611,2147483648,133.324,29.2989,0.299487,1.7432,32791,16385,16402,0
mmap,seq_read,warm,2147483648,4096,1,0,42,2,0.446982,2147483648,4581.84,0.852551,0.323949,0.12306,32779,0,1,0
mmap,seq_read,cold,2147483648,4096,1,0,42,3,15.3605,2147483648,133.329,29.2978,0.262071,1.774,32791,16385,16385,4
mmap,seq_read,warm,2147483648,4096,1,0,42,3,0.447419,2147483648,4577.37,0.853384,0.307203,0.140237,32779,0,1,1
mmap,seq_read,cold,2147483648,4096,4,0,42,1,34.6061,2147483648,59.1803,66.0059,0.19111,2.0482,32780,16393,16392,53
mmap,seq_read,warm,2147483648,4096,4,0,42,1,0.115047,2147483648,17801.4,0.219435,0.299109,0.158397,32785,0,3,0
mmap,seq_read,cold,2147483648,4096,4,0,42,2,40.3512,2147483648,50.7544,76.9637,0.282443,2.00475,32781,16391,16543,47
mmap,seq_read,warm,2147483648,4096,4,0,42,2,0.114939,2147483648,17818.1,0.219229,0.330761,0.126898,32785,0,4,2
mmap,seq_read,cold,2147483648,4096,4,0,42,3,34.2502,2147483648,59.7952,65.3271,0.2625,1.98964,32780,16391,16521,50
mmap,seq_read,warm,2147483648,4096,4,0,42,3,0.115087,2147483648,17795.3,0.21951,0.304279,0.151391,32785,0,7,3
mmap,seq_read,cold,2147483648,4096,8,0,42,1,38.9015,2147483648,52.6458,74.1988,0.270062,2.06643,32784,16395,16388,81
mmap,seq_read,warm,2147483648,4096,8,0,42,1,0.0924406,2147483648,22154.8,0.176316,0.426169,0.113016,32792,0,23,0
mmap,seq_read,cold,2147483648,4096,8,0,42,2,39.8672,2147483648,51.3705,76.0407,0.268368,2.02308,32784,16395,16389,92
mmap,seq_read,warm,2147483648,4096,8,0,42,2,0.0913971,2147483648,22407.7,0.174326,0.355576,0.187975,32791,0,13,3
mmap,seq_read,cold,2147483648,4096,8,0,42,3,39.2764,2147483648,52.1433,74.9137,0.273315,2.02019,32783,16396,16388,86
mmap,seq_read,warm,2147483648,4096,8,0,42,3,0.091593,2147483648,22359.8,0.1747,0.396592,0.146036,32792,0,36,3
mmap,seq_read,cold,2147483648,65536,1,0,42,1,15.3714,2147483648,133.235,469.097,0.241372,1.79521,32791,16387,16387,6
mmap,seq_read,warm,2147483648,65536,1,0,42,1,0.448209,2147483648,4569.3,13.6783,0.294515,0.153713,32780,0,1,1
mmap,seq_read,cold,2147483648,65536,1,0,42,2,15.3494,2147483648,133.425,468.427,0.230167,1.83487,32790,16387,16387,4
mmap,seq_read,warm,2147483648,65536,1,0,42,2,0.449372,2147483648,4557.47,13.7137,0.329253,0.120146,32777,0,1,0
mmap,seq_read,cold,2147483648,65536,1,0,42,3,15.3508,2147483648,133.413,468.47,0.279944,1.76378,32791,16387,16387,6
mmap,seq_read,warm,2147483648,65536,1,0,42,3,0.447459,2147483648,4576.95,13.6554,0.320069,0.127417,32779,0,1,0
mmap,seq_read,cold,2147483648,65536,4,0,42,1,38.9012,2147483648,52.6462,1187.17,0.304871,1.94099,32779,16391,16387,44
mmap,seq_read,warm,2147483648,65536,4,0,42,1,0.118649,2147483648,17261.0,3.62089,0.350861,0.11002,32784,0,7,0
mmap,seq_read,cold,2147483648,65536,4,0,42,2,29.7453,2147483648,68.8513,907.754,0.217397,1.86755,16395,16392,16390,26
mmap,seq_read,warm,2147483648,65536,4,0,42,2,0.114712,2147483648,17853.3,3.50075,0.311472,0.142678,32783,0,7,5
mmap,seq_read,cold,2147483648,65536,4,0,42,3,34.207,2147483648,59.8707,1043.92,0.217834,1.97791,32779,16392,16391,36
mmap,seq_read,warm,2147483648,65536,4,0,42,3,0.119185,2147483648,17183.3,3.63725,0.315809,0.149724,32783,0,11,2
mmap,seq_read,cold,2147483648,65536,8,0,42,1,38.7923,2147483648,52.794,1183.85,0.302017,1.95702,32784,16395,16387,97
mmap,seq_read,warm,2147483648,65536,8,0,42,1,0.090291,2147483648,22682.2,2.75546,0.384959,0.153053,32791,0,28,2
mmap,seq_read,cold,2147483648,65536,8,0,42,2,39.3883,2147483648,51.9951,1202.04,0.197169,2.08535,32784,16397,16390,90
mmap,seq_read,warm,2147483648,65536,8,0,42,2,0.0923376,2147483648,22179.5,2.81792,0.362227,0.181518,32792,0,31,1
mmap,seq_read,cold,2147483648,65536,8,0,42,3,39.3321,2147483648,52.0694,1200.32,0.300779,1.96103,32785,16397,16390,108
mmap,seq_read,warm,2147483648,65536,8,0,42,3,0.093434,2147483648,21919.2,2.85138,0.362711,0.172402,32791,0,33,1
mmap,seq_read,cold,2147483648,1048576,1,0,42,1,15.3599,2147483648,133.334,7499.97,0.223223,1.84051,32791,16387,16385,5
mmap,seq_read,warm,2147483648,1048576,1,0,42,1,0.452682,2147483648,4524.15,221.036,0.317282,0.135408,32777,0,1,1
mmap,seq_read,cold,2147483648,1048576,1,0,42,2,15.3599,2147483648,133.335,7499.93,0.270446,1.78994,32792,16387,16386,3
mmap,seq_read,warm,2147483648,1048576,1,0,42,2,0.44829,2147483648,4568.48,218.891,0.331885,0.116418,32777,0,1,1
mmap,seq_read,cold,2147483648,1048576,1,0,42,3,15.3515,2147483648,133.407,7495.85,0.251956,1.79326,32792,16387,16386,6
mmap,seq_read,warm,2147483648,1048576,1,0,42,3,0.448303,2147483648,4568.34,218.898,0.307824,0.140504,32778,0,1,0
mmap,seq_read,cold,2147483648,1048576,4,0,42,1,33.4975,2147483648,61.1389,16356.2,0.231188,1.99562,32779,16391,16388,30
mmap,seq_read,warm,2147483648,1048576,4,0,42,1,0.118774,2147483648,17242.9,57.9949,0.345525,0.114415,32784,0,4,1
mmap,seq_read,cold,2147483648,1048576,4,0,42,2,30.2844,2147483648,67.6255,14787.3,0.253241,1.93867,32781,16392,16390,28
mmap,seq_read,warm,2147483648,1048576,4,0,42,2,0.115773,2147483648,17689.8,56.5298,0.321104,0.138127,32784,0,5,0
mmap,seq_read,cold,2147483648,1048576,4,0,42,3,34.3816,2147483648,59.5667,16787.9,0.296907,1.90849,32779,16391,16387,26
mmap,seq_read,warm,2147483648,1048576,4,0,42,3,0.117284,2147483648,17461.9,57.2674,0.331343,0.130818,32784,0,5,1
mmap,seq_read,cold,2147483648,1048576,8,0,42,1,37.3711,2147483648,54.8017,18247.6,0.259758,2.00547,32785,16396,16390,55
mmap,seq_read,warm,2147483648,1048576,8,0,42,1,0.0905981,2147483648,22605.3,44.2373,0.376199,0.163752,32793,0,16,2
mmap,seq_read,cold,2147483648,1048576,8,0,42,2,36.399,2147483648,56.2653,17772.9,0.294379,1.96962,32785,16397,16391,85
mmap,seq_read,warm,2147483648,1048576,8,0,42,2,0.0909481,2147483648,22518.3,44.4082,0.399511,0.141606,32791,0,33,1
mmap,seq_read,cold,2147483648,1048576,8,0,42,3,38.0206,2147483648,53.8655,18564.8,0.239751,2.03745,32784,16395,16390,76
mmap,seq_read,warm,2147483648,1048576,8,0,42,3,0.0914689,2147483648,22390.1,44.6625,0.402485,0.140384,32792,0,33,3
mmap,rand_read,cold,2147483648,4096,1,0,42,1,142.387,2147483648,14.3833,271.582,0.499601,2.28087,18005,32074,21822,59
mmap,rand_read,warm,2147483648,4096,1,0,42,1,0.466269,2147483648,4392.32,0.889337,0.32687,0.139422,32778,0,1,1
