interface,workload,cache_state,file_size_bytes,block_size_bytes,threads,qd,seed,repetition,wall_seconds,total_bytes,throughput_MBps,latency_us_per_op,cpu_user_seconds,cpu_sys_seconds,minor_faults,major_faults,voluntary_ctx,involuntary_ctx
,,,,,,,,,,,,,,,,,,
io_uring,workload,warm,2147483648,4096,1,64,42,1,0.63595,2147483648,3220.38,1.21298,0.00821,0.627788,138,0,1,0
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,warm,2147483648,4096,1,64,42,2,0.627206,2147483648,3265.27,1.1963,0.020327,0.606884,96,0,1,1
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,warm,2147483648,4096,1,64,42,3,0.626918,2147483648,3266.78,1.19575,0.011999,0.614947,96,0,1,1
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,warm,2147483648,4096,4,64,42,1,0.665488,2147483648,12309.8,0.31733,0.051758,2.56767,492,0,84,3
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,warm,2147483648,4096,4,64,42,2,0.676115,2147483648,12116.3,0.322397,0.096048,2.60767,384,0,22,4
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,warm,2147483648,4096,4,64,42,3,0.671747,2147483648,12195.1,0.320314,0.123907,2.56218,384,0,25,8
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,warm,2147483648,4096,8,64,42,1,0.896767,2147483648,18270.1,0.213806,0.188334,5.6539,912,0,214,4
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,warm,2147483648,4096,8,64,42,2,0.894596,2147483648,18314.4,0.213288,0.144542,6.96464,781,0,102,4
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,warm,2147483648,4096,8,64,42,3,0.88165,2147483648,18583.3,0.210202,0.10834,5.69422,780,0,82,7
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,cold,2147483648,4096,1,64,42,1,16.0897,2147483648,127.286,30.6888,8.17527,6.67274,512,0,999,29
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,cold,2147483648,4096,1,64,42,2,16.0485,2147483648,127.613,30.61,8.12988,6.71714,518,0,1025,44
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,cold,2147483648,4096,1,64,42,3,15.94,2147483648,128.482,30.4032,8.73209,7.20722,586,0,1,50
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,cold,2147483648,4096,4,64,42,1,16.0896,2147483648,509.148,7.67214,35.3861,28.9694,2939,0,26,226
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,cold,2147483648,4096,4,64,42,2,16.0483,2147483648,510.458,7.65245,36.1779,28.0128,2838,0,16,204
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,cold,2147483648,4096,4,64,42,3,15.9981,2147483648,512.062,7.62847,35.203,28.7867,2561,0,15,200
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,cold,2147483648,4096,8,64,42,1,16.0238,2147483648,1022.48,3.82036,64.759,63.2871,5752,1,136,307
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,cold,2147483648,4096,8,64,42,2,15.974,2147483648,1025.67,3.80849,64.4504,63.3304,4039,0,116,261
,,,,,,,,,,,,,,,,,,
io_uring,seq_read,cold,2147483648,4096,8,64,42,3,16.041,2147483648,1021.38,3.82447,65.6811,62.6331,5633,0,131,300
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,warm,2147483648,4096,1,64,42,1,1.28833,2147483648,1589.66,2.45729,0.659057,1.96703,233,0,29063,10
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,warm,2147483648,4096,1,64,42,2,1.00343,2147483648,2040.99,1.9139,0.491068,1.51512,103,0,3,9
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,warm,2147483648,4096,1,64,42,3,0.997187,2147483648,2053.78,1.90198,0.516645,1.47669,96,0,3,4
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,warm,2147483648,4096,4,64,42,1,4.42158,2147483648,1852.73,2.10837,10.5687,28.212,1482,0,1889065,42
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,warm,2147483648,4096,4,64,42,2,5.07418,2147483648,1614.45,2.41956,11.868,32.1383,1116,0,2068107,50
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,warm,2147483648,4096,4,64,42,3,4.95599,2147483648,1652.95,2.3632,11.8722,30.4882,1363,0,2073892,60
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,warm,2147483648,4096,8,64,42,1,11.2745,2147483648,1453.19,2.68804,53.846,133.281,3743,0,4203245,112372
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,warm,2147483648,4096,8,64,42,2,10.1032,2147483648,1621.67,2.40879,47.9523,121.459,3771,0,4136987,140577
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,warm,2147483648,4096,8,64,42,3,12.8275,2147483648,1277.26,3.05831,61.3703,130.987,3517,0,4194737,39781
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,cold,2147483648,4096,1,64,42,1,2.93791,2147483648,697.094,5.60362,1.75534,5.31222,231,0,493287,509
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,cold,2147483648,4096,1,64,42,2,1.46254,2147483648,1400.31,2.78957,0.766033,2.1577,234,0,3,8
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,cold,2147483648,4096,1,64,42,3,1.44934,2147483648,1413.06,2.76439,0.724774,2.17257,233,0,3,9
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,cold,2147483648,4096,4,64,42,1,5.32501,2147483648,1538.4,2.53916,12.601,32.8601,1695,0,1795784,51
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,cold,2147483648,4096,4,64,42,2,5.19112,2147483648,1578.08,2.47532,11.9782,32.9266,1135,0,2080744,68
,,,,,,,,,,,,,,,,,,
io_uring,seq_write,cold,2147483648,4096,4,64,42,3,5.62539,2147483648,1456.26,2.68239,13.3738,34.9639,1136,0,2079174,56
,,,,,,,,,,,,,,,,,,
