interface,workload,cache_state,file_size_bytes,block_size_bytes,threads,qd,seed,repetition,wall_seconds,total_bytes,throughput_MBps,latency_us_per_op,cpu_user_seconds,cpu_sys_seconds,Minor_faults,major_faults,voluntary_ctx,involuntary_ctx
syscall,seq_read,warm,2147483648,4096,1,1,42,0,0.685242620,2147483648,2988.722447,1.307,0.247525,0.437738,13,0,1,1
syscall,seq_read,warm,2147483648,4096,1,1,42,1,0.691587054,2147483648,2961.304709,1.319,0.217118,0.474486,12,0,1,1
syscall,seq_read,warm,2147483648,4096,1,1,42,2,0.690883978,2147483648,2964.318272,1.318,0.211760,0.479138,12,0,1,1
syscall,seq_read,cold,2147483648,4096,1,1,42,0,15.612045352,2147483648,131.180762,29.778,0.644436,2.384480,720,0,16387,5
syscall,seq_read,cold,2147483648,4096,1,1,42,1,15.601984444,2147483648,131.265353,29.758,0.639728,2.391585,709,0,16387,6
syscall,seq_read,cold,2147483648,4096,1,1,42,2,15.612355048,2147483648,131.178159,29.778,0.784593,2.240662,711,0,16387,7
syscall,seq_read,warm,2147483648,4096,4,1,42,0,0.230681264,2147483648,8878.050885,0.440,0.202507,0.719958,30,2,4,3
syscall,seq_read,warm,2147483648,4096,4,1,42,1,0.246376258,2147483648,8312.489266,0.470,0.258623,0.726548,35,1,5,2
syscall,seq_read,warm,2147483648,4096,4,1,42,2,0.242667484,2147483648,8439.532014,0.463,0.230644,0.739755,32,2,4,2
syscall,seq_read,cold,2147483648,4096,4,1,42,0,15.608552084,2147483648,131.210121,29.771,0.901975,2.989425,33,3,65557,4
syscall,seq_read,cold,2147483648,4096,4,1,42,1,15.603582949,2147483648,131.251906,29.761,0.864313,3.015991,36,1,65555,4
syscall,seq_read,cold,2147483648,4096,4,1,42,2,15.600540052,2147483648,131.277507,29.756,0.838653,3.028824,30,2,65567,3
syscall,seq_read,warm,2147483648,4096,8,1,42,0,0.227771149,2147483648,8991.481182,0.434,0.307844,1.512822,55,5,12,4
syscall,seq_read,warm,2147483648,4096,8,1,42,1,0.226739189,2147483648,9032.404187,0.432,0.297762,1.514572,56,6,17,1
syscall,seq_read,warm,2147483648,4096,8,1,42,2,0.213705654,2147483648,9583.274760,0.408,0.270757,1.437085,56,6,15,7
syscall,seq_read,cold,2147483648,4096,8,1,42,0,15.622897499,2147483648,131.089639,29.798,0.930464,3.827017,54,1,131234,3
syscall,seq_read,cold,2147483648,4096,8,1,42,1,15.606813762,2147483648,131.224735,29.768,0.949809,3.797807,51,2,131211,2
syscall,seq_read,cold,2147483648,4096,8,1,42,2,15.604148738,2147483648,131.247147,29.763,1.019229,3.682564,57,1,131134,5
syscall,seq_read,warm,2147483648,65536,1,1,42,0,0.385339857,2147483648,5314.788914,11.760,0.022357,0.362995,29,0,1,1
syscall,seq_read,warm,2147483648,65536,1,1,42,1,0.352115976,2147483648,5816.265491,10.746,0.019867,0.332256,27,0,1,1
syscall,seq_read,warm,2147483648,65536,1,1,42,2,0.316127537,2147483648,6478.397989,9.647,0.020778,0.295369,26,0,1,0
syscall,seq_read,cold,2147483648,65536,1,1,42,0,15.634019360,2147483648,130.996384,477.112,0.045766,1.944256,92,0,16385,5
syscall,seq_read,cold,2147483648,65536,1,1,42,1,15.601484368,2147483648,131.269561,476.120,0.057640,1.999855,92,0,16386,5
syscall,seq_read,cold,2147483648,65536,1,1,42,2,15.601262424,2147483648,131.271428,476.113,0.044176,1.957233,94,0,16385,1
syscall,seq_read,warm,2147483648,65536,4,1,42,0,0.143874909,2147483648,14234.587631,4.391,0.030232,0.544839,91,2,20,3
syscall,seq_read,warm,2147483648,65536,4,1,42,1,0.097362100,2147483648,21034.879075,2.971,0.018426,0.370729,91,0,13,0
